"name","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean_relative_abundance","degree","betweenness","normalized_degree","module"
"ASV_182","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Pseudocercospora",NA,2.50028163895601e-05,3,16.6471361122219,0.00443786982248521,13
"ASV_185","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA,0.000340530304830572,1,0,0.0014792899408284,22
"ASV_186","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Paraphoma","radicina",2.33778434990852e-05,27,1238.9470083619,0.0399408284023669,4
"ASV_19","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora",NA,5.83219605510259e-06,17,244.151043736628,0.0251479289940828,7
"ASV_191","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,0.00068991680319421,5,535.683403501644,0.00739644970414201,2
"ASV_192","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium","macerans",6.10688204504415e-05,3,265.980996716191,0.00443786982248521,6
"ASV_193","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA,3.64366990432764e-05,11,580.952204627412,0.0162721893491124,13
"ASV_197","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella",NA,0.000591741274118738,8,220.490266205773,0.0118343195266272,2
"ASV_198","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","floriforme",0.000100198226040378,27,1238.9470083619,0.0399408284023669,4
"ASV_199","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Piniphoma","wesendahlina",0.000923534951215201,2,0,0.0029585798816568,2
"ASV_20","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA,0.00400789008905275,1,0,0.0014792899408284,23
"ASV_206","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Myrothecium",NA,0.000939008611475648,1,0,0.0014792899408284,24
"ASV_207","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Thyrostroma",NA,0.000836951094602452,7,2539.74879158852,0.0103550295857988,3
"ASV_21","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora","rubella",6.63366369079184e-06,20,2357.22560538301,0.029585798816568,1
"ASV_213","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormiella","similis",0.001003106456332,1,0,0.0014792899408284,25
"ASV_216","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,0.000583703006137616,12,1714.73029395537,0.0177514792899408,2
