"Network","Nodes","Edges","Average_degree","Density","Modularity","Clustering","Average_path_length","Components","Positive_edges","Negative_edges"
"Kansas Early",83,221,5.32530120481928,0.0649426976197473,0.662639995086096,0.502363566821398,3.85698155814829,3,221,0
"Kansas Regular",27,49,3.62962962962963,0.13960113960114,0.410037484381508,0.325102880658436,2.0531914893617,6,49,0
"South Dakota Early",35,76,4.34285714285714,0.127731092436975,0.675554016620499,0.657142857142857,1.18390804597701,8,76,0
"South Dakota Regular",76,124,3.26315789473684,0.0435087719298246,0.707693808532778,0.357790309106099,5.47036181678214,11,124,0
