"name","Kingdom","Phylum","Class","Order","Family","Genus","mean_relative_abundance","degree","betweenness","normalized_degree","module"
"ASV_85","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.0128961668981294,4,15.5988201126359,0.048780487804878,7
"ASV_55","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",0.0239609227651472,3,10.6583286278938,0.0365853658536585,3
"ASV_149","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter",0.00775848447442828,5,9.80106837606837,0.0609756097560976,1
"ASV_65","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae",NA,0.00783466689365566,7,6,0.0853658536585366,5
"ASV_124","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.0130422216530742,5,4.11538461538461,0.0609756097560976,1
"ASV_71","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.0120146646507512,2,2.91014492753623,0.024390243902439,7
"ASV_190","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Plantibacter",0.000520833333333333,5,2.83198117671802,0.0609756097560976,1
"ASV_358","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,0.000446428571428571,5,2.83198117671802,0.0609756097560976,1
"ASV_103","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium",0.0208230511780016,1,0,0.0121951219512195,2
"ASV_11","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",0.014747191011236,6,0,0.0731707317073171,5
"ASV_111","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",0.0140633056666471,1,0,0.0121951219512195,3
"ASV_112","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Wolbachia",0.00207786526684164,4,0,0.048780487804878,3
"ASV_116","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium",0.0104155780811016,1,0,0.0121951219512195,4
"ASV_118","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera",0.0275569824010667,2,0,0.024390243902439,6
"ASV_121","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.00690529578699538,2,0,0.024390243902439,4
"ASV_133","Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter",0.000437445319335083,4,0,0.048780487804878,3
"ASV_146","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.00179965828845754,2,0,0.024390243902439,1
"ASV_17","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium",0.00573501872659176,6,0,0.0731707317073171,5
"ASV_18","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",0.00884591023502326,1,0,0.0121951219512195,5
"ASV_24","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",0.00889513108614232,6,0,0.0731707317073171,5
"ASV_29","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium",0.0072565543071161,6,0,0.0731707317073171,5
"ASV_30","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,0.0508963258057752,2,0,0.024390243902439,6
"ASV_302","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma",7.48055056852184e-05,3,0,0.0365853658536585,4
"ASV_33","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea",0.0179074053733376,3,0,0.0365853658536585,4
"ASV_34","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Siphonobacter",0.00117041198501873,6,0,0.0731707317073171,5
"ASV_396","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum",0.000546806649168854,4,0,0.048780487804878,3
"ASV_47","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium",0.101452206233832,1,0,0.0121951219512195,2
"ASV_56","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0.00254338719329743,3,0,0.0365853658536585,4
"ASV_87","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas",0.00117041198501873,6,0,0.0731707317073171,5
"ASV_94","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",0.0118110236220472,4,0,0.048780487804878,3
