"Network","Nodes","Edges","Average_degree","Density","Modularity","Clustering","Average_path_length","Components","Positive_edges","Negative_edges","Percent_negative"
"Kansas Early",557,2726,9.78815080789946,0.0176045877839918,0.6859320238415,0.370769550744661,5.31758361961408,28,2718,8,0.293470286133529
"Kansas Regular",655,6325,19.3129770992366,0.0295305460232976,0.665818569263697,0.514073213629854,4.0906827111243,12,6319,6,0.0948616600790514
"South Dakota Early",592,3215,10.8614864864865,0.0183781497233274,0.650443706478913,0.396615360337492,5.42531220444324,16,3198,17,0.528771384136858
"South Dakota Regular",677,3926,11.5982274741507,0.0171571412339507,0.681202150637533,0.377086848484866,4.74166637047268,18,3897,29,0.738665308201732
