"ASV","KS_LFC","KS_p","KS_padj","SD_LFC","SD_p","SD_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","Category"
"ASV_708",7.2527656068249,0.00155639654118959,0.00490697242847274,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Fibrodontia","s__brevidens","Other"
"ASV_710",7.96435071930328,0.000554334672806972,0.00190657531404822,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Camillea","s__obularia","Other"
"ASV_711",3.45247941682966,0.222188502441229,0.379716782183523,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium","s__hasegawianum","Other"
"ASV_723",1.09184205612407,0.713489466325534,0.801674266776661,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","s__nodulosa","Other"
"ASV_724",3.95447710969334,0.129714055422309,0.244434942046866,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__albobadia","Other"
"ASV_725",4.7158494157307,0.112692394630185,0.218642509239761,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Edenia","s__gomezpompae","Other"
"ASV_727",2.43180546296606,0.412668069840717,0.56601602328606,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__","s__","Other"
"ASV_728",3.94445200417142,0.0696350204135601,0.144357530902997,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraconiothyrium","s__","Other"
"ASV_730",-3.07511763713546,0.300553063003151,0.468904091420724,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Apiosporaceae","g__Arthrinium","s__obovatum","Other"
"ASV_732",3.67072883687302,0.0200048371474499,0.0469505797477913,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Ophiosphaerella","s__","Other"
"ASV_734",3.63833882850577,0.0435631403531333,0.0955442788421378,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__","s__","Other"
"ASV_739",3.26236233018641,0.271331130048086,0.438378409401534,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia","s__","Other"
"ASV_740",-0.585732760944063,0.838467346503876,0.897792866303678,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Bulleribasidium","s__oberjochense","Other"
"ASV_760",-1.72398550377515,0.502984097253959,0.634318833759159,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__flavescens","Other"
"ASV_763",12.8289654092434,8.6208230870093e-07,4.60453374294379e-06,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__","s__","Other"
"ASV_766",2.58668346002914,0.382964239509982,0.544942124804386,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__hirsuta","Other"
"ASV_767",2.90504586212332,0.234934881638934,0.396507198007718,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Torulaceae","g__Dendryphion","s__europaeum","Other"
"ASV_770",-2.50675141029678,0.399081549185519,0.555976857584976,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Clitopilus","s__","Other"
"ASV_772",1.37967397913537,0.64279860824394,0.738811564918351,-0.575832229175454,0.846714735445909,0.955132562047334,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Neocamarosporium","s__salsolae","Other"
"ASV_776",-2.80846626018689,0.34395042907478,0.511978671475246,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__","s__","Other"
"ASV_778",2.54130561223829,0.319159120164478,0.486000128665474,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__","s__","Other"
"ASV_782",-10.1519240545601,0.000642597116566515,0.0021935269994075,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__","g__Acremonium","s__fusidioides","Other"
"ASV_784",-0.15066305902045,0.941310641699614,0.966037440755598,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Microdochiaceae","g__Microdochium","s__seminicola","Other"
"ASV_785",3.78180571838078,0.11963112092834,0.228203902947337,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__","g__","s__","Other"
"ASV_799",-2.97180759863806,0.317316938127094,0.486000128665474,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Dissoconiaceae","g__Dissoconium","s__eucalypti","Other"
"ASV_801",-8.36710554214457,0.0048276647416199,0.0132833926830026,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Ceriporia","s__alachuana","Other"
"ASV_804",3.08676430995085,0.297766852449861,0.466159141421506,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__","f__","g__","s__","Other"
"ASV_805",2.2623299726067,0.446458470332463,0.597911933719582,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Eutypella","s__","Other"
"ASV_806",-10.8066540274139,0.000282176875205982,0.0010765403474245,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__","Other"
"ASV_810",-1.40704571442597,0.636142166403252,0.736914325646712,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Erysiphales","f__Erysiphaceae","g__Golovinomyces","s__","Other"
"ASV_811",3.61319056897633,0.066586183326556,0.138670308395672,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__","s__","Other"
"ASV_817",2.04732262115989,0.4905341269019,0.63088525102964,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Seimatosporium","s__quercinum","Other"
"ASV_819",1.4362624944733,0.6281801065886,0.731266072798011,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__rosarum","Other"
"ASV_822",-3.38948158564648,0.253745381048775,0.421979498154374,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium","s__yunnanense","Other"
"ASV_828",2.11670870721139,0.475220452406752,0.620185943228105,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia","s__","Other"
"ASV_829",1.89460948554808,0.523512641918176,0.656560053676387,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Ophiosphaerella","s__aquatica","Other"
"ASV_839",-4.8444126163827,0.102504044761166,0.202334070963344,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__","Other"
